rank,title,link,author,star,comment_num,comment_link,price
1,傅雷家书（收录傅雷家人亲自编定193通家书！独…,https://www.amazon.cn/dp/B01K4H3IZW/ref=zg_bs_143175071_1?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,傅雷,4.6,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
2,人类群星闪耀时（当改变命运的时刻降临，犹豫就…,https://www.amazon.cn/dp/B07V1QGT9F/ref=zg_bs_143175071_2?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,斯蒂芬·茨威格,4.5,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
3,人生由我（乘风破浪的妈妈，比硅谷钢铁侠马斯克…,https://www.amazon.cn/dp/B08BNR4F86/ref=zg_bs_143175071_3?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,梅耶·马斯克,4.5,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
5,天真的人类学家（笑翻了人类学的高头讲章，合盘…,https://www.amazon.cn/dp/B08NJ5QVRB/ref=zg_bs_143175071_5?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,[英]巴利,4.4,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
6,我的前半生：全本(九项奥斯卡金像奖电影《末代皇…,https://www.amazon.cn/dp/B0822L2MCX/ref=zg_bs_143175071_6?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,爱新觉罗·溥仪,4.6,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
7,过得刚好【郭德纲亲笔作品，讲述人生四十多年的…,https://www.amazon.cn/dp/B07YDGBL3X/ref=zg_bs_143175071_7?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,郭德纲,4.2,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
8,知行合一王阳明(1472-1529)（读客熊猫君出品，…,https://www.amazon.cn/dp/B00L3TIVYY/ref=zg_bs_143175071_8?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,度阴山,4.4,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
9,拿破仑传（出身草根，一路狂奔、盛极而衰，悲剧…,https://www.amazon.cn/dp/B07PT6GJHY/ref=zg_bs_143175071_9?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,埃米尔·路德维希,3.4,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
10,曾国藩家书（豆瓣评分8.3分，慢读系列，李鸿章校…,https://www.amazon.cn/dp/B01BKB2IPM/ref=zg_bs_143175071_10?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,曾国藩,4.3,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
11,别逗了，费曼先生！（费曼百年诞辰纪念版。比尔·…,https://www.amazon.cn/dp/B07VHFXJSS/ref=zg_bs_143175071_11?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,理查德·费曼,4.3,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
12,毛泽东传:名著珍藏版(插图本)（图文版）(畅销…,https://www.amazon.cn/dp/B007SJ6IB6/ref=zg_bs_143175071_12?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,罗斯·特里尔(Ross Terr …,5.0,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
13,一生的旅程：迪士尼CEO自述（比尔盖茨罕见2000…,https://www.amazon.cn/dp/B087JNZ6ZL/ref=zg_bs_143175071_13?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,(美)罗伯特·艾格(Robert …,4.7,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
14,成事：冯唐品读曾国藩嘉言钞（适合手机碎片阅读…,https://www.amazon.cn/dp/B07RHH7LFR/ref=zg_bs_143175071_14?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,冯唐,4.0,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
15,南渡北归：离别（套装全2册） (博集历史典藏馆),https://www.amazon.cn/dp/B00N8JOKU6/ref=zg_bs_143175071_15?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,岳南,4.4,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
16,富兰克林自传: 权威珍藏版，华盛顿与卡耐基推崇…,https://www.amazon.cn/dp/B07FQCFVDX/ref=zg_bs_143175071_16?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,本杰明.富兰克林,3.9,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
17,傅雷家书（教育部新编初中语文教材指定阅读书…,https://www.amazon.cn/dp/B07QCXBPJF/ref=zg_bs_143175071_17?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,傅雷,3.9,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
18,命运：文在寅自传（韩国总统文在寅亲笔自传，中…,https://www.amazon.cn/dp/B07928PHJJ/ref=zg_bs_143175071_18?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,文在寅,4.7,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
19,人类群星闪耀时（斯蒂芬·茨威格的传世杰作，“晓…,https://www.amazon.cn/dp/B074FSG3WD/ref=zg_bs_143175071_19?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,茨威格,4.3,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
20,苏东坡传（林语堂独家授权作品）(博集文学典藏系…,https://www.amazon.cn/dp/B01AJAA1L8/ref=zg_bs_143175071_20?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,林语堂,4.5,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
21,苏东坡新传（豆瓣评分9.7，余秋雨高度评价的传记…,https://www.amazon.cn/dp/B08HMG1LWF/ref=zg_bs_143175071_21?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,李一冰,3.9,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
22,曾国藩传【知名学者张宏杰继《曾国藩的正面与侧…,https://www.amazon.cn/dp/B07MHKHFPT/ref=zg_bs_143175071_22?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,张宏杰,4.7,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
24,曾国藩：又笨又慢平天下（读客熊猫君出品，一部…,https://www.amazon.cn/dp/B01GLA8B7G/ref=zg_bs_143175071_24?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,度阴山,4.5,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
25,且以优雅过一生：杨绛传（参透杨绛先生的百年人…,https://www.amazon.cn/dp/B01MEEZDW3/ref=zg_bs_143175071_25?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,桑妮,4.3,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
26,股票作手回忆录 (博集经管商务必读系列),https://www.amazon.cn/dp/B0129DQVCG/ref=zg_bs_143175071_26?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,埃德温·利非弗,4.6,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
27,南渡北归1：南渡(增订版） (博集历史典藏馆),https://www.amazon.cn/dp/B00N1UDY5O/ref=zg_bs_143175071_27?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,岳南,4.4,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
28,名人传 (经典译林),https://www.amazon.cn/dp/B00GMZKYU8/ref=zg_bs_143175071_28?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,罗曼·罗兰,4.5,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
29,若有诗书藏于心，岁月从不败美人:叶嘉莹的诗词人…,https://www.amazon.cn/dp/B07GDJNZ33/ref=zg_bs_143175071_29?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,苏茜茜,4.7,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
30,爱你就像爱生命（李银河独家授权，亲自校订全…,https://www.amazon.cn/dp/B077TKLRRH/ref=zg_bs_143175071_30?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,王小波,4.4,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
31,史蒂夫·乔布斯传(Steve Jobs:A Biography)(乔布斯…,https://www.amazon.cn/dp/B0084X49V6/ref=zg_bs_143175071_31?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,沃尔特·艾萨克森 (Walter …,4.6,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
32,富兰克林自传 (译林人文精选),https://www.amazon.cn/dp/B009TQATU2/ref=zg_bs_143175071_32?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,富兰克林(Franklin.B.),4.3,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
33,武则天：从三岁到八十二岁（第1部）（还原武则…,https://www.amazon.cn/dp/B016UMUM8G/ref=zg_bs_143175071_33?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,王晓磊,4.5,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
34,腾讯传1998—2016（腾讯官方唯一授权的权威传…,https://www.amazon.cn/dp/B01N0BVW80/ref=zg_bs_143175071_34?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,吴晓波,4.2,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
36,小白入门：读懂公司财报——雪球专刊特辑,https://www.amazon.cn/dp/B07SD5VTST/ref=zg_bs_143175071_36?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,雪球用户,4.1,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
37,佛陀传（读客熊猫君出品。享誉海内外的佛学大师…,https://www.amazon.cn/dp/B07MT9CC6C/ref=zg_bs_143175071_37?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,一行禅师,4.6,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
38,周恩来传,https://www.amazon.cn/dp/B071CWJK51/ref=zg_bs_143175071_38?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,迪克·威尔逊,4.0,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
39,"青年变革者：梁启超(1873～1898) 【""十三邀""主…",https://www.amazon.cn/dp/B07RJMJ7VJ/ref=zg_bs_143175071_39?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,许知远,4.4,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
40,洛克菲勒写给儿子的38封信（洛克菲勒家信读本，…,https://www.amazon.cn/dp/B07PDK5VHF/ref=zg_bs_143175071_40?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,约翰·D.洛克菲勒,4.3,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
41,洛克菲勒留给儿子的38封信,https://www.amazon.cn/dp/B013SLU2NC/ref=zg_bs_143175071_41?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,洛克菲勒,4.6,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
44,昨日的世界：一个欧洲人的回忆（著名作家茨威格…,https://www.amazon.cn/dp/B077TB3FYG/ref=zg_bs_143175071_44?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,[奥地利]斯蒂芬·茨威格,4.7,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
45,成为：米歇尔·奥巴马自传【2019读者年度“十大…,https://www.amazon.cn/dp/B07MGH4F4T/ref=zg_bs_143175071_45?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,米歇尔·奥巴马 (Michell …,4.7,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
46,大明亡国史：崇祯皇帝传 罗振宇“罗辑思维”鼎力…,https://www.amazon.cn/dp/B01N0R14W9/ref=zg_bs_143175071_46?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,苗棣,3.8,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
47,任正非传（精装）,https://www.amazon.cn/dp/B071HGW7KJ/ref=zg_bs_143175071_47?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,孙力科,4.6,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
48,苏东坡传（林语堂逝世40周年纪念典藏版）(博集…,https://www.amazon.cn/dp/B01IQRTE32/ref=zg_bs_143175071_48?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,林语堂,4.3,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
49,寂寞大佬任正非,https://www.amazon.cn/dp/B00QV49MWQ/ref=zg_bs_143175071_49?_encoding=UTF8&psc=1&refRID=8C0WX2WFVGMYGETCXHG6,魏昕,3.6,127,https://www.amazon.cn/product-reviews/B01K4H3IZW/ref=zg_bs_143175071_cr_1?ie=UTF8&refRID=8C0WX2WFVGMYGETCXHG6,￥5.99
